titulo,precio,habitaciones,m2,altura,zona
"Piso en Calle de Bellver, 3, Berruguete, Madrid",1.000€/mes,1,72,Planta 1ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de José Calvo, 1, Berruguete, Madrid",1.845€/mes,2,64,Planta 5ª exterior con ascensor,"Berruguete, Madrid"
"Ático en Calle Algodonales, 68, Berruguete, Madrid",1.100€/mes,1,50,Planta 3ª exterior sin ascensor,"Berruguete, Madrid"
"Piso en Berruguete, Madrid",1.200€/mes,1,35,N/A,Madrid
"Piso en Nuevos Ministerios-Ríos Rosas, Madrid",4.100€/mes,3,178,N/A,Madrid
"Piso en Calle de Raimundo Fernández Villaverde, 37, Cuatro Caminos, Madrid",1.525€/mes,2,52,Planta 1ª interior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Molina, Ventilla-Almenara, Madrid",1.100€/mes,1,50,Planta 1ª exterior sin ascensor,"Ventilla-Almenara, Madrid"
"Piso en Avenida del General Perón, Cuatro Caminos, Madrid",2.900€/mes,4,203,Planta 1ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de huesca, 7, Cuzco-Castillejos, Madrid",1.650€/mes,2,70,Planta 2ª exterior sin ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Jerónima Llorente, Bellas Vistas, Madrid",1.350€/mes,2,65,Planta 1ª exterior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Bravo Murillo, 297, Valdeacederas, Madrid",2.500€/mes,3,104,Planta 6ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Francos Rodríguez, 34, Berruguete, Madrid",1.900€/mes,2,75,Planta 2ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle Tudelilla, Bellas Vistas, Madrid",1.850€/mes,3,87,Planta 5ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle tenerife, 6, Bellas Vistas, Madrid",1.400€/mes,2,50,Planta 3ª interior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Villaamil, Berruguete, Madrid",1.450€/mes,1,52,Planta 1ª interior con ascensor,"Berruguete, Madrid"
"Piso en Avenida de la Reina Victoria, Madrid, Vallehermoso, Madrid",2.200€/mes,3,100,Planta 7ª exterior con ascensor,"Madrid, Vallehermoso, Madrid"
"Piso en Calle Hermano Gárate, Cuzco-Castillejos, Madrid",1.500€/mes,1,45,Bajo exterior sin ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Hernani, 15, Cuatro Caminos, Madrid",1.000€/mes,1,40,Planta 2ª exterior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Bruno Ayllón, Cuatro Caminos, Madrid",1.000€/mes,1,43,Planta 3ª interior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Raimundo Fernández Villaverde, 43, Cuatro Caminos, Madrid",1.800€/mes,2,90,Planta 7ª interior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Almansa, Ciudad Universitaria, Madrid",2.300€/mes,2,75,Planta 12ª exterior con ascensor,"Ciudad Universitaria, Madrid"
"Piso en Calle de la Infanta Mercedes, 95, Cuzco-Castillejos, Madrid",1.900€/mes,2,88,Planta 5ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Raimundo Fernández Villaverde, Nuevos Ministerios-Ríos Rosas, Madrid",3.200€/mes,3,140,Planta 3ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Estudio en Calle San Antonio, 8, Cuatro Caminos, Madrid",900€/mes,N/A,29,Planta 3ª interior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de las Almortas, 40, Valdeacederas, Madrid",1.700€/mes,2,75,Planta 1ª interior sin ascensor,"Valdeacederas, Madrid"
"Dúplex en Calle de Ceuta, 31, Valdeacederas, Madrid",1.300€/mes,2,80,Planta 3ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Guipúzcoa, 8, Cuatro Caminos, Madrid",1.400€/mes,1,53,Planta 1ª exterior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Bravo Murillo, 185, Bellas Vistas, Madrid",1.400€/mes,1,75,Planta 1ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Serrallo, 14, Berruguete, Madrid",980€/mes,1,55,Planta 1ª exterior sin ascensor,"Berruguete, Madrid"
"Piso en Calle de Lope de Haro, 9, Berruguete, Madrid",1.600€/mes,3,85,Planta 3ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de Raimundo Fernández Villaverde, Nuevos Ministerios-Ríos Rosas, Madrid",1.600€/mes,3,94,Planta 1ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Calle de Bruno Ayllón, Cuatro Caminos, Madrid",1.000€/mes,1,39,N/A,"Cuatro Caminos, Madrid"
"Dúplex en Calle de Hernani, 30, Cuatro Caminos, Madrid",1.250€/mes,1,70,Bajo interior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de San Raimundo, Bellas Vistas, Madrid",2.000€/mes,4,109,Planta 4ª exterior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle Aranjuez, Bellas Vistas, Madrid",1.475€/mes,2,84,Planta 1ª exterior con ascensor,"Bellas Vistas, Madrid"
"Estudio en Calle de Tenerife, 25, Bellas Vistas, Madrid",1.050€/mes,N/A,30,Planta 3ª interior sin ascensor,"Bellas Vistas, Madrid"
