titulo,precio,dormitorios,baños,m2,codigo,estacionamientos,fecha
Los Avellanos 2551,$ 370.000,N/A,1,30 m²,109069040,0,06/02/2026
Los Avellanos 2261,$ 590.000,2,2,55 m²,109069024,0,06/02/2026
José Domingo Cañas 445,$ 520.000,1,1,35 m²,109068945,0,06/02/2026
Av. Irarrázaval 4200,$ 700.000,2,2,54 m²,87701916,1,02/02/2026
Plaza egaña,$ 630.000,1,1,45 m²,108604726,0,01/02/2026
Irarrázaval 1970,$ 850.000,1,1,"33,75 m²",108603818,1,01/02/2026
Metro irarrázaval,$ 492.842,1,1,"34,59 m²",53806959,0,29/01/2026
Vista despejada Norte Nuevo Guillermo Mann (143047),$ 400.000,1,1,34 m²,108169899,0,27/01/2026
Metro irarrazaval,$ 480.000,1,1,65 m²,72276519,1,23/01/2026
Moderno mariposa con Amplia Terraza (142190),$ 728.307,2,2,52 m²,107577303,0,21/01/2026
San Eugenio,$ 650.000,2,1,60 m²,69630414,1,17/01/2026
Nuevo con esta bodega edificio Full (141171),$ 550.000,2,2,58 m²,107174690,1,16/01/2026
Av. Salvador 1921,$ 465.000,1,1,35 m²,67890910,1,12/01/2026
Moderno departamento (139883),$ 600.000,2,2,45 m²,106542016,2,09/01/2026
José Domingo Cañas 445,$ 530.000,2,N/A,39 m²,106516304,1,09/01/2026
Dr. Johow con Grecia,$ 500.000,1,1,44 m²,106251225,15,06/01/2026
"ñuñoa, zañartu esquina castillos urizar",$ 575.000,2,2,64 m²,19710142,1,02/01/2026
San Eugenio,$ 460.000,1,1,42 m²,11311943,0,23/12/2025
Juan Enrique Concha 80,$ 500.000,1,1,43 m²,4025973,1,18/12/2025
2DCercano Mall Plaza Egaña,$ 1.414.381,2,2,"161,37 m²",44578539,1,04/12/2025
No especifica,$ 780.000,3,2,90 m²,101687811,1,22/11/2025
"Plaza zañartu, av. Pedro de valdivia y rodrigo de araya",$ 480.000,1,1,44 m²,85735472,0,08/11/2025
Metro Ñuble (128136),$ 320.000,1,1,23 m²,99617459,0,06/11/2025
"Irarrazaval, diagonal oriente, hamburgo",$ 750.000,1,1,51 m²,98017690,1,24/10/2025
San jorge,$ 650.000,2,2,65 m²,96683953,1,11/10/2025
Se arrienda hermoso nuevo de 1 d mt i (63607),$ 535.871,1,1,35 m²,66113694,0,21/09/2025
Guillermo Mann 1751,$ 440.000,1,1,N/A,76206685,1,07/03/2025
Se arrienda departamento a pasos de metro rodrigo de araya,$ 420.000,1,1,"37,12 m²",72220748,0,24/01/2025
